RPM,tokens,avgConcurrency,avgWait,avgITL
636.05,1015.23,29,0.00336,2.713109
604.25,1007.73,31.6,0.003216,2.745057
598.36,1006.33,30.2,0.003506,2.793808
584.23,1025.41,24.4,0.003193,2.723371
537.11,1019.29,21.4,0.003673,2.713456
598.36,1027.87,29,0.003573,2.804188
608.96,1018.76,25.6,0.00349,2.796842
604.25,1006.98,24.2,0.003551,2.893419
597.18,1031.35,28.6,0.003636,2.820765
583.05,1040.02,27.6,0.003423,2.793714
563.03,1015.88,26.8,0.003434,2.691747
552.43,1042.61,24.4,0.003702,2.674482
611.32,1036.7,28.2,0.003529,2.891775
560.67,1023.43,28.8,0.003483,2.781476
614.85,1020.67,26.2,0.00339,2.767087
572.45,1018.31,22.8,0.003328,2.696626
578.34,1031.46,29.6,0.003549,2.715715
592.47,1037.25,30,0.003327,2.72002
578.34,1022.53,28.6,0.003305,2.733631
759.73,1022.96,38.8,0.00351,2.8984
679.64,1022.1,28.2,0.003311,2.817154
693.77,1043.37,31,0.003267,2.850605
687.88,1018.34,34.2,0.003398,2.803458
753.84,1013.88,36.2,0.003207,2.874392
743.24,1021.99,38.2,0.003067,2.860044
706.73,1024.27,35.6,0.003343,2.805437
709.08,1029.22,35.6,0.003279,2.828202
762.09,1039.15,39.2,0.003649,3.130541
740.89,1026.39,36.4,0.003265,2.852689
699.66,1016.46,33.6,0.003163,2.815977
699.66,1016.05,30.2,0.003257,2.786493
727.93,1029.7,33.8,0.003214,2.841827
696.13,1014.12,34.2,0.003361,2.910957
730.29,1002.84,37.2,0.003599,2.849528
679.64,1038.37,34,0.003484,2.843215
702.02,1035.37,36.6,0.003308,2.818809
727.93,1032.84,37,0.003121,2.845658
739.71,1007.32,39.2,0.003443,2.906815
717.33,1013.99,34.4,0.003458,2.817118
856.32,1035.69,46,0.003218,3.06236
859.85,1025.52,46.6,0.003621,3.245428
815.09,1031.6,41.8,0.003216,3.03631
823.34,1037.37,41.6,0.003989,3.402972
813.91,998.11,49.4,0.004501,3.759289
793.89,1020.34,45.6,0.003654,3.228066
858.67,1024.12,46.2,0.003283,3.110439
817.45,1043.1,49,0.004093,3.570576
830.4,1016.59,56.6,0.005067,3.914648
885.77,1028.31,43.8,0.003329,3.172776
848.07,1025.48,44.8,0.003461,3.289685
862.21,1015.45,42.6,0.003129,3.082712
835.12,1035.45,49.2,0.003874,3.578909
826.87,1021.61,41.8,0.003213,3.094071
852.78,1004.51,46.2,0.003061,3.02267
881.05,1025.95,40,0.003278,3.196735
765.62,1021.26,42.2,0.003356,3.029435
864.56,1014.6,43.8,0.003385,3.270967
912.3,1017.39,48.2,0.003165,3.128614
838.65,1030.53,46.4,0.003337,3.075568
918.75,1023.89,51,0.003247,3.240912
958.79,1015.2,62,0.003395,3.479497
967.04,1012.47,57.4,0.003165,3.364063
948.19,1022.59,54.4,0.003178,3.237537
997.66,1031.01,61.8,0.003172,3.454241
945.84,1034.66,55,0.003091,3.256308
947.02,1018.52,56.4,0.003249,3.255759
936.41,1029,61.6,0.003396,3.514236
995.31,1014.68,57,0.003275,3.335712
941.13,1030.41,46.8,0.003187,3.270781
1021.22,1024.57,62,0.003319,3.549526
912.86,1015.13,49.8,0.003491,3.299781
963.51,1019.67,59.2,0.003108,3.298498
965.86,1018.73,53.2,0.004087,3.36097
985.89,1025.41,61.2,0.00313,3.352293
937.59,1010.3,49,0.003225,3.177988
917.57,1024.03,46.6,0.003358,3.180947
911.68,1041.49,52,0.003085,3.194022
937.59,1025.78,48.8,0.003189,3.249262
975.28,1026.26,57.4,0.003234,3.303486
982.35,1010.56,57.6,0.003399,3.405524
984.71,1028.54,56.8,0.003298,3.543505
944.49,1022.95,54.4,0.003319,3.226389
916.39,1000.97,48.4,0.003331,3.233831
945.84,1035.08,53.4,0.003559,3.398636
892.83,1039.73,56.2,0.003226,3.225
992.95,1021.61,57.2,0.003287,3.383871
